Alegrete,Investigação e Ensaios Preliminares de Torneamento á quente,Aldoni Gabriel Wiedenhoft,04/06/2018 - 04/06/2020
Alegrete,Aceleração de Aplicações em Arquiteturas Paralelas Contemporâneas,Claudio Schepke,03/03/2018 - 31/12/2021
Alegrete,ANÁLISE DA TRANSIÇÃO DE ESCOAMENTOS UTILIZANDO CFD,Felipe Denardin Costa,01/01/2017 - 31/12/2020
Alegrete,Análise do processo de dano em materiais utilizando a Teoria Peridinâmica,Leandro Ferreira Friedrich,01/11/2018 - 31/10/2022
Alegrete,Análise do sistema de drenagem pluvial do município de Alegrete/RS,Marilia Ferreira Tamiosso,01/04/2018 - 31/03/2021
Alegrete,Análise e Síntese de Redes Refletoras para Aplicações Espaciais,Edson Rodrigo Schlosser,20/03/2018 - 01/12/2020
Alegrete,Aplicação do LDEM na simulação de processos de ruptura de Materiais Quase-Frágeis,Luis Kosteski,01/04/2018 - 31/03/2022
Alegrete,Aprendizagem baseada em problemas aplicada na engenharia de software,Cristiano Tolfo,23/03/2018 - 23/03/2020
Alegrete,Auto ajuste de controladores aplicado a VANTs,Marcelo Durgante,20/03/2018 - 20/03/2022
Alegrete,Avaliação do desenvolvimento da capuchinha (Tropaeolum majus L.) cultivada em vaso com irrigação por capilaridade em casa de vegetação,Fátima Cibele Soares,01/02/2018 - 31/12/2021
Alegrete,Avaliação dos processos físicos responsáveis pela transição de regimes de escoamento na camada limite atmosférica e suas implicações para modelos numéricos de previsão de tempo e clima,Felipe Denardin Costa,01/04/2018 - 31/12/2021
Alegrete,Avaliação Experimental de Redes Centradas em Informação,Rodrigo Brandão Mansilha,01/08/2018 - 31/12/2021
Alegrete,Avaliação microestrutural de misturas asfálticas a partir de imagens digitalizadas e computacionalmente geradas,Diego Arthur Hartmann,01/03/2018 - 28/02/2021
Alegrete,Controle operacional de sistemas modernos de distribuição de energia,Ana Paula Carboni de Mello,01/09/2017 - 01/09/2020
Alegrete,Desempenho de pontas de pulverização em função de condições ambientais e operacionais contrastantes.,Vilnei de Oliveira Dias,01/04/2019 - 31/12/2021
Alegrete,Desenvolvimento de conversores estáticos para geração fotovoltaica conectada ao sistema elétrico,Guilherme Sebastião da Silva,01/04/2018 - 01/04/2021
Alegrete,Desenvolvimento de Ferramentas de Aços Rápidos Através da Otimização de Tratamentos Térmicos e Criogênicos,Marco Antonio Durlo Tier,01/03/2018 - 28/02/2022
Alegrete,Desenvolvimento de Materiais Cerâmicos Refratários Empregando Sílica da Casca de Arroz e Fibras Refratárias,Marco Antonio Durlo Tier,01/03/2018 - 28/02/2022
Alegrete,Desenvolvimento de Metodologias Robustas para Aplicação em Relés Digitais e Otimização da Proteção em SEP,Eduardo Machado dos Santos,27/03/2017 - 27/03/2021
Alegrete,Desenvolvimento de novos métodos de estimação fasorial para relés de proteção numéricos,Chrystian Dalla Lana da Silva,18/03/2019 - 18/03/2020
Alegrete,DESENVOLVIMENTO DE PAINEIS ESPUMOSOS DE CONFORTO TÉRMICO E ACÚSTICO UTILIZANDO CONCRETO E CASCA E PALHA DE ARROZ,Wang Chong,01/09/2017 - 31/08/2021
Alegrete,Desenvolvimento de parametrizações de turbulência para modelos atmosféricos de previsão de tempo e clima: observação e modelagem,ARLINDO DUTRA CARVALHO JUNIOR,01/12/2018 - 31/12/2021
