Investigação e Ensaios Preliminares de Torneamento á quente|Aldoni Gabriel Wiedenhoft|04/06/2018 - 04/06/2020
Aceleração de Aplicações em Arquiteturas Paralelas Contemporâneas|Claudio Schepke|03/03/2018 - 31/12/2021
ANÁLISE DA TRANSIÇÃO DE ESCOAMENTOS UTILIZANDO CFD|Felipe Denardin Costa|01/01/2017 - 31/12/2020
Análise do processo de dano em materiais utilizando a Teoria Peridinâmica|Leandro Ferreira Friedrich|01/11/2018 - 31/10/2022
Análise do sistema de drenagem pluvial do município de Alegrete/RS|Marilia Ferreira Tamiosso|01/04/2018 - 31/03/2021
Análise e Síntese de Redes Refletoras para Aplicações Espaciais|Edson Rodrigo Schlosser|20/03/2018 - 01/12/2020
Aplicação do LDEM na simulação de processos de ruptura de Materiais Quase-Frágeis|Luis Kosteski|01/04/2018 - 31/03/2022
Aprendizagem baseada em problemas aplicada na engenharia de software|Cristiano Tolfo|23/03/2018 - 23/03/2020
Auto ajuste de controladores aplicado a VANTs|Marcelo Durgante|20/03/2018 - 20/03/2022
Avaliação do desenvolvimento da capuchinha (Tropaeolum majus L.) cultivada em vaso com irrigação por capilaridade em casa de vegetação|Fátima Cibele Soares|01/02/2018 - 31/12/2021
Avaliação dos processos físicos responsáveis pela transição de regimes de escoamento na camada limite atmosférica e suas implicações para modelos numéricos de previsão de tempo e clima|Felipe Denardin Costa|01/04/2018 - 31/12/2021
Avaliação Experimental de Redes Centradas em Informação|Rodrigo Brandão Mansilha|01/08/2018 - 31/12/2021
Avaliação microestrutural de misturas asfálticas a partir de imagens digitalizadas e computacionalmente geradas|Diego Arthur Hartmann|01/03/2018 - 28/02/2021
Controle operacional de sistemas modernos de distribuição de energia|Ana Paula Carboni de Mello|01/09/2017 - 01/09/2020
Desempenho de pontas de pulverização em função de condições ambientais e operacionais contrastantes.|Vilnei de Oliveira Dias|01/04/2019 - 31/12/2021
Desenvolvimento de conversores estáticos para geração fotovoltaica conectada ao sistema elétrico|Guilherme Sebastião da Silva|01/04/2018 - 01/04/2021
Desenvolvimento de Ferramentas de Aços Rápidos Através da Otimização de Tratamentos Térmicos e Criogênicos|Marco Antonio Durlo Tier|01/03/2018 - 28/02/2022
Desenvolvimento de Materiais Cerâmicos Refratários Empregando Sílica da Casca de Arroz e Fibras Refratárias|Marco Antonio Durlo Tier|01/03/2018 - 28/02/2022
Desenvolvimento de Metodologias Robustas para Aplicação em Relés Digitais e Otimização da Proteção em SEP|Eduardo Machado dos Santos|27/03/2017 - 27/03/2021
Desenvolvimento de novos métodos de estimação fasorial para relés de proteção numéricos|Chrystian Dalla Lana da Silva|18/03/2019 - 18/03/2020
DESENVOLVIMENTO DE PAINEIS ESPUMOSOS DE CONFORTO TÉRMICO E ACÚSTICO UTILIZANDO CONCRETO E CASCA E PALHA DE ARROZ|Wang Chong|01/09/2017 - 31/08/2021
Desenvolvimento de parametrizações de turbulência para modelos atmosféricos de previsão de tempo e clima: observação e modelagem|ARLINDO DUTRA CARVALHO JUNIOR|01/12/2018 - 31/12/2021
Desenvolvimento de Redes de Antenas para Nano-Satélites e Plataformas de Alta Altitude|Marcos Vinício Thomas Heckler|01/07/2016 - 30/07/2019
Desenvolvimento de Sistemas Móveis Inteligentes (DSMI)  Ano II|Marcelo Resende Thielo|05/04/2018 - 31/12/2021
Desenvolvimento e Otimização do Desempenho de Redes Ópticas|Djeisson Hoffmann Thomas|01/05/2017 - 15/12/2020
Detalhamento do Conceito de Carro-Voador Pegasus  Reedição|Alexandre Silva de Oliveira|01/04/2018 - 31/03/2020
Detecção de fraudes bancárias utilizando ferramentas de clusterização hibrida de dados.|Alessandro Bof de Oliveira|20/03/2018 - 20/02/2020
DIMENSIONAMENTO DA CARGA TÉRMICA DE REFRIGERAÇÃO E AQUECIMENTO VEICULAR|Adriano Carotenuto|06/03/2019 - 28/02/2021
Efeito da irrigação e substrato no crescimento e produção de Dianthus chinensis L.|Fátima Cibele Soares|20/10/2018 - 31/12/2021
EFEITO DOS DANOS CONSTRUTIVOS EM PAREDES DE ALVENARIA ESTRUTURAL|Alisson Simonetti Milani|10/10/2017 - 30/09/2020
