Ambulatório de Nutrição da UNIPAMPA - Campus Itaqui|Karina Sanches Machado d'Almeida|20/02/2019 - 31/12/2022
Apicultura e Meliponicultura  agricultura familiar e educação ambiental|Luciana Zago Ethur|01/03/2019 - 31/12/2020
Aprendendo Física Moderna no Ensino Médio nas escolas de Itaqui, RS|Caroline Jaskulski Rupp|01/03/2019 - 01/03/2021
Assessoria Técnica Pedagógica ao Programa de ATES nos Projetos de Assentamentos do Rio Grande do Sul|Vinicius Piccin Dalbianco|01/07/2016 - 30/06/2020
Caracterização da indicação, comércio e uso de agrotóxicos e orientação de técnicos, comerciantes e produtores em relação às boas práticas com agrotóxicos|Fernando Felisberto da Silva|06/10/2017 - 31/12/2020
Clube de Xadrez Escolar e Universitário UNIPAMPA - Itaqui|ROLANDO LARICO MAMANI|01/02/2019 - 31/01/2021
Conheça a Unipampa|Itamara Martins de Souza|11/03/2019 - 18/12/2019
Conhecendo a UNIPAMPA|Luciano Antonelli Becker|01/08/2019 - 20/12/2019
Cozinhando com história: o lugar dos alimentos tradicionais no prato dos itaquienses|Jonas Anderson Simões das Neves|01/08/2016 - 01/06/2019
DETERMINAÇÃO DO CUSTO HORÁRIO DA COLHEITA MECANIZADA DE ARROZ IRRIGADO NA FRONTEIRA OESTE DO RS|Alexandre Russini|03/03/2019 - 03/03/2022
Dia de feira: (re) conhecimento do ambiente alimentar a partir das feiras da agricultura familiar de Itaqui/RS|Vinicius Piccin Dalbianco|02/05/2018 - 31/12/2019
Diálogos entre o curso de Nutrição e os estudantes do ensino médio de Itaqui-RS|Joice Trindade Silveira|18/03/2019 - 31/12/2021
Diversidade em Pauta|Paulo Roberto Cardoso da Silveira|01/04/2018 - 31/12/2019
Docência em Matemática: atividades extensionistas|KARLA BEATRIZ VIVIAN SILVEIRA|08/03/2019 - 30/12/2019
Ferramentas para formulação de dietas para ruminantes e planejamento forrageiro|Eduardo Bohrer de Azevedo|05/03/2018 - 05/03/2021
GeoMaçambará|Leonard Niero da Silveira|17/07/2017 - 17/07/2020
III Encontro de Nutrição da Fronteira Oeste|CARLA POHL SEHN|15/03/2019 - 30/11/2019
Meninas nas Ciências|Caroline Raquel Bender|01/01/2019 - 01/01/2021
Música e integração - Lar de Idosos São José|Luciana Zago Ethur|10/07/2018 - 10/07/2019
O esporte e o lazer como agentes consolidadores da cidadania|Leonard Niero da Silveira|02/05/2018 - 02/05/2021
Oficinas de elaboração de alimentos livres de glúten e caseína direcionadas aos cuidadores de pessoas com TEA matriculadas na APAE de Itaqui/RS|Paula Ferreira de Araujo Ribeiro|01/04/2018 - 31/12/2019
Os clássicos do Cinema e a violação das Leis da natureza|Elaine Cristina Ferreira Silva Fortes|01/11/2018 - 01/06/2019
PET Agro  Semeando Saúde|Luciana Zago Ethur|15/03/2018 - 31/12/2019
Previsão de safra de arroz irrigado no Rio Grande do Sul|Cleber Maus Alberto|01/04/2017 - 31/03/2020
Projeto Agricultura: Articulando Saberes e Vivencias Junto aos Agricultores Familiares de Itaqui  RS|Paulo Roberto Cardoso da Silveira|15/09/2018 - 31/12/2019
PROMOVENDO O ENSINO DE CIÊNCIAS E EXPERIMENTAÇÃO CIENTÍFICA NA REDE PÚBLICA DO MUNICÍPIO DE ITAQUI/RS|Marina Prigol|15/02/2019 - 14/02/2021
REDE GEODÉSICA|Rogério Rodrigues de Vargas|01/04/2018 - 31/12/2019
Sala de visita - UNIPAMPA|Márcio Luciano dos Santos Campos|19/12/2018 - 18/12/2019
Sarau Contemporâneo: um encontro científico cultural.|SILVANA PETERINI BOEIRA|11/03/2019 - 20/12/2019
Seminários da Física Quântica|Elaine Cristina Ferreira Silva Fortes|01/11/2018 - 30/05/2019
Suíno / Cultura: Esclarecimentos sobre a Cadeia Suinícola para a Fronteira Oeste Gaúcha  Ano II|Bruno Neutzling Fraga|11/03/2019 - 31/12/2019
UNIVERSIDADE E COMUNIDADE: DO ACESSO À PERMANÊNCIA|Vinicius Piccin Dalbianco|15/11/2018 - 31/12/2020
Universidade em Dança: Valorizando as Culturas Regionais|Paulo Roberto Cardoso da Silveira|01/06/2018 - 31/12/2019
UNIVERSIDADE ITINERANTE - Divulgação dos Cursos de Graduação do Campus Itaqui/UNIPAMPA|Luciana Zago Ethur|13/09/2017 - 31/12/2019
