A Ferradura dos Vinhedos: Aperfeiçoamento e Disseminação de Conhecimentos|Tanise Brandão Bussmann|01/04/2018 - 31/12/2020
A Unipampa contribuindo na Inclusão digital para a melhor idade,, Adultos e Pessoas fora do Mercado de Trabalho das cidades de Santana do Livramento e Rivera-ROU.|Luiz Edgar Araujo Lima|01/05/2015 - 15/01/2201
Associação Atlética Desportiva Unipampa Livramento (AADUL)|Sebastião Ailton da Rosa Cerqueira Adão|20/06/2018 - 18/06/2019
Cine Pampa|Renato José da Costa|01/01/2017 - 31/12/2019
Desenvolvimento do Arranjo Produtivo Local (APL) do Leite em Sant`Ana do Livramento|MÁRCIO PEREIRA CORDEIRO|16/02/2017 - 14/02/2020
Despertando a atitude empreendedora: uma análise em escolas                         públicas de ensino médio|Mygre Lopes da Silva|04/10/2018 - 20/12/2019
Despertando a atitude empreendedora: uma análise em escolas públicas de ensino médio|Mygre Lopes da Silva|04/09/2018 - 20/12/2019
Diálogos: Unipampa com Santana do Livramento|Isabela Braga da Matta|26/03/2019 - 08/07/2019
Educação para a Sustentabilidade Financeira 6ª Edição|Thadeu José Francisco Ramos|02/05/2019 - 31/12/2019
I Seminário Relações Internacionais e Defesa: o Brasil no mundo do século XXI|Kamilla Raquel Rizzi|01/02/2019 - 10/07/2019
II Jornada Jurídica Fronteiriça|Alessandra Marconatto|01/03/2019 - 01/12/2019
Incentivapampa|João Timóteo de los Santos|09/05/2018 - 07/05/2021
INCUBAÇÃO DE EMPREENDIMENTOS ECONÔMICOS SOLIDÁRIOS (EES) NA FRONTEIRA DA PAZ  SANTANA DO LIVRAMENTO - RS|Altacir Bunde|25/02/2019 - 30/12/2020
Observatório de Uso de Redes Sociais na Política|Paulo Cassanego Jr|31/03/2019 - 31/03/2020
PAMPASUL - Unipampa Simulações Internacionais 2019/2020|Kamilla Raquel Rizzi|01/02/2019 - 01/12/2020
PAMPEANO  Cursinho Pré-ENEM do Diretório Acadêmico de Relações Internacionais da Universidade Federal do Pampa.|Rafael Balardin|10/04/2018 - 18/12/2020
Participação na Constituição e no Acompanhamento do Observatório Social de Santana do Livram|Jeferson Luis Lopes Goularte|01/11/2017 - 31/12/2019
PECDIR - Projeto de Extensão: o Direito na Comunidade|Deisemara Turatti Langoski|03/04/2019 - 04/04/2022
WAR Geopolítico|Renato José da Costa|16/11/2016 - 16/11/2019
