Plano integrador da formação inicial e continuada de professores  (ProFI-C) do Programa Conexões Universidade Escola: ações de  formação continuada para o desenvolvimento da Educação Básica|ANDRE LUÍS SILVA DA SILVA|11/10/2018 - 09/09/2020
A Preservação da Cultura Através da Digitalização|Zilamar Teixeira de Carvalho Ferreira|01/04/2019 - 01/04/2020
Apoio ao Planejamento e Execução da Ação de Extensão  Geo.Dia|Felipe Guadagnin|04/01/2017 - 20/12/2019
Cápsulas de Café: Uma alternativa de reaproveitamento na produção de mudas de plantas|Juliana Young|25/03/2019 - 20/12/2019
Estudo Ambiental na área do Geoparque: a educação ambiental como ferramenta alternativa para mudança de atitude|Juliana Young|11/03/2019 - 31/01/2020
Feira de Ciências - Difundindo Ciência e Tecnologia na Região da Campanha - Caçapava do Sul (RS)|Aline Lopes Balladares|20/03/2016 - 10/12/2019
Fomentando uma visão sustentável no ambiente acadêmico: Implantação de uma horta orgânica na Unipampa - Campus Caçapava do Sul|Rafael Matias Feltrin|25/11/2017 - 25/12/2019
Geo.trilhas: Trilhando a Geologia|Ezequiel Galv|02/04/2019 - 02/04/2023
Mostra Cultural Farroupilha|Zilamar Teixeira de Carvalho Ferreira|15/03/2019 - 15/03/2022
Museu Virtual Geológico do Pampa - Fase 2: Tecnologia da informação e da comunicação|cristiane heredia gomes|01/12/2018 - 01/12/2020
Promoção da Coleta Seletiva Solidária no município de Caçapava do Sul|Rafaela Rios|01/03/2019 - 31/12/2019
SOB MINHA PELE|Renata Vivian de Miranda|12/03/2018 - 31/12/2019
