A Geografia ribeirinha de São Borja através da produção cultural do bairro do passo.|Muriel Pinto|01/04/2019 - 31/12/2019
Admirável Mundo Novo: quebrando paradigmas através da educação|Ronaldo Bernardino Colvero|19/02/2019 - 31/01/2020
Bolsa de gestão para a coordenação do curso de Relações Públicas do campus São Borja da UNIPAMPA|Valmor Rhoden|01/04/2019 - 31/12/2019
Cambiando Saberes|Marcela Guimarães e Silva|11/03/2019 - 13/12/2019
CINE FILO-UNIPAMPA  Provocações Filosóficas da Arte Cinematográfica|Sérgio Ricardo Silva Gacki|13/10/2015 - 01/09/2019
Comunicação visual das fachadas comerciais: edição 2019.|Denise Aristimunha de Lima|22/03/2019 - 31/01/2020
Conhecendo a Unipampa  edição 2019|William de Souza Bernardes|02/04/2019 - 30/08/2019
Cultura de Paz E direitos Humanos|Simone Barros de Oliveira|10/01/2019 - 10/01/2022
Direito à informação de interesse público|Valmor Rhoden|01/04/2019 - 31/12/2019
EDUCON: Educação Ambiental e Controle Social|solange berwig|30/04/2015 - 18/12/2020
Formação e Assessoria em Políticas Sociais no município de São Borja-RS|Rosilaine Coradini Guilherme|05/03/2017 - 31/12/2021
GESTÃO DE MARKETING PARA ORGANIZAÇÕES DE FRONTEIRA  EDIÇÃO 2019, UM PASSO À FRENTE|João Antônio Gomes Pereira|25/03/2019 - 15/02/2020
História, Cultura e Identidade Afro-indígena na Fronteira Oeste do Rio Grande do Sul. A formação de professores da educação básica na rede de ensino pública municipal de São Borja  2019|Edson Romario Monteiro Paniagua|20/03/2019 - 31/12/2019
I Fórum Internacional de Serviço Social: Trabalho, Políticas Sociais e Fronteiras|Rosilaine Coradini Guilherme|01/02/2019 - 10/12/2019
i4 Documenta|Sara Alves Feitosa|04/04/2019 - 30/12/2020
III SEMINÁRIO (DES)FAZENDO SABERES NA FRONTEIRA: LUTAS E (RE)EXISTÊNCIAS|JAQUELINE CARVALHO QUADRADO|28/03/2019 - 31/12/2019
LEME: oficinas preparatórias para o ENEM|Gerson de Lima Oliveira|01/04/2017 - 01/04/2020
Mostra de Cinema da Unipampa - 3ª Edição|Elisa Lübeck Terra|01/04/2019 - 31/01/2020
MULHERES SEM FRONTEIRAS|JAQUELINE CARVALHO QUADRADO|20/03/2019 - 10/03/2022
Observa Pampa|solange berwig|20/04/2018 - 21/12/2020
Pampa News: webtelejornal da Unipampa|Roberta Roos Thier|01/04/2019 - 20/12/2019
Papo de Corredor: os alunos como agentes da informação e do debate acadêmico|Leandro Ramires Comassetto|01/04/2019 - 19/03/2021
PEGADA SEGURA: práticas educativas em saúde sexual e saúde reprodutiva|JAQUELINE CARVALHO QUADRADO|19/03/2019 - 18/03/2022
Produção Legislativa no Município de São Borja e as políticas públicas para as mulheres|saraepitcio|01/03/2018 - 01/03/2020
Projeto Educomunicaçao Popular no Campo: gestão de marketing para feiras livres  com agricultoras familiares|merli leal silva|10/05/2019 - 10/12/2019
Projeto Nova Visão: Criatividade, Inovação e Empreendedorismo sem fronteiras|João Antônio Gomes Pereira|01/03/2018 - 15/02/2020
Redução de Danos em São Borja|José Wesley Ferreira|24/10/2018 - 10/12/2019
Relações Públicas Inclusiva: a diversidade na comunicação|fernanda sagrilo andres|12/04/2019 - 02/01/2020
Saúde Mental: Rodas de conversa no CAPS AD de São Borja|Jocenir de Oliveira Silva|03/03/2017 - 31/12/2019
Sessão Pipoquinha|Juliana Zanini Salbego|18/03/2019 - 31/01/2020
V Seminário Internacional de Ciências Sociais  Ciência Política, cuja temática será Estado, Sociedade e Democracia: os (des) caminhos da América Latina no Século XXI|Edson Romario Monteiro Paniagua|19/02/2019 - 31/08/2019
