 Integra_Fisio|Graziela Morgana Silva Tavares|01/05/2019 - 31/12/2019
3ª Clínica Científica de Corrida|Marcos Roberto Kunzler|01/06/2019 - 01/11/2019
ACADEMIA PARA BEBÊS: Intervenção motora em busca do Desenvolvimento motor pleno|Eloa Maria dos Santos Chiquetti|01/04/2019 - 01/04/2021
Ações de Prevenção de Agravos e Promoção da Saúde nas Escolas: dos cuidados básicos de higiene ao controle de ISTs.|Debora Alves Nunes Mario|18/03/2019 - 31/01/2021
Ações de promoção à saúde para trabalhadores de enfermagem de Estratégias de Saúde da Família|Leticia Silveira Cardoso|10/05/2018 - 10/06/2020
Alimentos e alimentação animal na Fronteira Oeste do Rio Grande do Sul|Deise Dalazen Castagnara|22/07/2017 - 21/07/2021
AMBULATÓRIO DE PRÁTICAS INTEGRATIVAS E COMPLEMENTARES NO SUS|Angela Kemel Zanella|01/04/2016 - 01/04/2020
Ampliação da Educação Ambiental nas escolas municipais de Uruguaiana-RS|Ailton Jesus Dinardi|01/03/2019 - 20/12/2019
Apoio e acompanhamento para promoção proteção e apoio ao aleitamento materno|Jussara Mendes Lipinski|02/05/2018 - 15/12/2019
Apoio e promoção ao aleitamento materno em Estratégias de Saúde da Família (ESF) da zona rural do município.|Jussara Mendes Lipinski|10/03/2019 - 12/12/2019
Aquário como Terapia Assistida por Animais 2019|Alessandra Sayuri Kikuchi Tamajusuku Neis|01/03/2018 - 30/12/2019
Atenção à Mulher no Puerpério na Atenção Primária à Saúde|NATALIA SEVILHA STOFEL|10/04/2018 - 12/07/2019
Ativ@ Idade: mente e corpo|Graziela Morgana Silva Tavares|01/04/2019 - 31/12/2020
Atividades Educativas acerca das condições crônicas de saúde|Raquel Pötter Garcia|01/09/2017 - 01/09/2020
Avaliação da qualidade do sêmen utilizado em programas de Inseminação Artificial na Fronteira Oeste do Rio Grande do Sul|Fábio Gallas leivas|01/02/2017 - 31/12/2019
AVALIAÇÃO E INTERVENÇÃO MOTORA EM CRIANÇAS COM DIFICULDADES DE APRENDIZAGEM|Eloa Maria dos Santos Chiquetti|02/05/2019 - 01/04/2021
Basquete como Promotor da Qualidade de Vida de Escolares|Marcio Alessandro Cossio Baez|01/02/2018 - 31/12/2019
Bromatologia como forma de incentivo à piscicultura na Fronteira Oeste do Rio Grande do Sul|Cristiano Miguel Stefanello|24/03/2019 - 20/04/2023
Centro de Tecnologia em Pecuária - CTPEC|Ricardo Pedroso Oaigen|14/03/2016 - 28/02/2020
Cientistas do Pampa|Eliade Ferreira Lima|10/02/2018 - 10/02/2020
Cine Debate: Bioética e Direitos Humanos|Juliana Lopes de Macedo|02/03/2019 - 02/05/2020
Clínica veterinária abrindo portas para a pecuária da Fronteira Oeste do Rio Grande do Sul|Fernando Passon Casagrande|01/03/2019 - 28/02/2022
Colóquios em Fisiologia 2019|Pâmela Billig Mello Carpes|01/03/2019 - 31/12/2019
Comunicação social e cidadania: Saúde mental em foco|luana ribeiro borges|10/03/2017 - 10/03/2020
Conhecendo a Unipampa Campus Uruguaiana|Liane Santariano Sant'Anna|01/05/2018 - 31/12/2019
Conhecendo o Autismo|Franck Maciel Peçanha|07/04/2018 - 05/04/2020
Conhecendo os Carnívoros do Pampa|Paulo de Souza Junior|03/04/2017 - 03/04/2020
Construção de Estratégias de Cuidado ao Prematuro e sua Família junto a Equipe de Saúde da Família|Michele Bulhosa de Souza|01/04/2019 - 10/04/2020
Coral Campus Uruguaiana: um projeto para todos|Mauren Assis de Souza|18/03/2019 - 31/12/2021
Correndo com saúde: práticas de avaliação, orientação e acompanhamento de atletas amadores praticantes de corrida.|Marcos Roberto Kunzler|02/05/2019 - 15/12/2019
CUIDADOS DE ENFERMAGEM AOS PACIENTES COM FERIDAS NO AMBIENTE HOSPITALAR|JOSEFINE BUSANELLO|01/04/2018 - 06/12/2020
Curso de RCP  Ressuscitação Cardiopulmonar.|Franck Maciel Peçanha|07/04/2018 - 05/04/2020
Descarte racional de medicamentos|Fernanda Bruxel|10/05/2017 - 28/02/2023
Disseminação do Tifton 85 (Cynodon spp.) na Fronteira Oeste do Rio Grande do Sul|Rodrigo Holz Krolow|12/03/2018 - 11/03/2021
