Recuperação das comunidades de tetrápodes continentais após a extinção permo-triássica na Bacia do Paraná|Felipe Lima Pinheiro|01/08/2017 - 01/08/2020
A alga antártica Prasiola crispa: buscando genes relacionados à vida em condições extremas|Paulo Marcos Pinto|01/03/2018 - 28/02/2022
A Base Nacional Comum Curricular (BNCC) e a abordagem da temática saúde no Ensino Fundamental|Julio Cesar Bresolin Marinho|13/08/2018 - 31/07/2020
A Sustentabilidade nos preceitos das Escolas do Campo: uma análise das práticas educativas nas escolas da Metade Sul do RS.|JEFFERSON MARÇAL DA ROCHA|01/03/2018 - 28/02/2021
Análise da regeneração natural em sub-bosque de antigo plantio de Eucalyptus camaldulensis Dehnh., em São Gabriel, RS|Patrícia de Oliveira Neves|01/03/2019 - 31/12/2020
Análise do veneno dos escorpiões Tityus uruguayensis e Bothriurus bonariensis|Paulo Marcos Pinto|01/03/2018 - 28/02/2022
Aplicação de xisto retortado em sistema silvipastoril: dinâmica do nitrogênio e especiação química de elementos-traço|Frederico Costa Beber Vieira|01/07/2017 - 30/06/2019
Aplicação do Método Q para a Valoração de áreas verdes urbanas no município de São Gabriel, RS|Cibele Rosa Gracioli|01/12/2018 - 01/12/2020
Aplicação do Método Q para a Valoração de áreas verdes urbanas no município de São Gabriel, RS|Cibele Rosa Gracioli|01/10/2018 - 01/12/2019
ASPECTOS SILVICULTURAIS E ECOLÓGICOS DE UM SISTEMA SILVIPASTORIL COM Parapiptadenia rigida NA REGIÃO DO BIOMA PAMPA|HamiltonLuiz Munari Vogel|01/03/2017 - 01/03/2020
Association among fetal microbiota, prematurity and preterm morbidities|luiz Fernando Wurdig Roesch|01/06/2017 - 01/06/2021
Avaliação da utilização de Energia Fotovoltáica como forma de Economia nos Recursos Públicos|Beatriz Stoll Moraes|25/10/2018 - 24/12/2019
Bioatividade de extrato de capim-annoni-2 (Eragrostis plana Nees) sobre sistema nervoso de baratas da espécie Nauphoeta cinerea|Silvane Vestena|01/03/2018 - 31/12/2019
