Formação Continuada Institucional|Suzana Schwartz|11/04/2019 - 31/12/2020
A configuração do Sistema Educacional Municipal da Educação Pública Primária entre as décadas de 1920 a 1960 no município de Bagé/RS|Alessandro Carvalho Bica|30/06/2017 - 31/12/2019
A Formação Continuada de Professores de Matemática e a Utilização de Laptops: uma inserção tecnológica da Plataforma Khan Academy na prática docente|Denice Aparecida Fontana Nisxota Menegais|20/04/2016 - 20/04/2020
A formação do leitor-escritor de inglês como língua adicional sob a perspectiva dos Estudos de Adaptação|Fabiane Lazzaris|30/06/2017 - 30/06/2020
A metodologia Emergética como ferramenta de análise da Bioeconomia: Uma comparação entre a produção da uva orgânica e da tradicional|José Paulo Fagundes|01/04/2017 - 31/12/2020
A narrativa como possibilidade (auto)formativa na constituição da docência no curso de Matemática-Licenciatura - Campus Bagé.|Luciana Martins Teixeira|26/09/2018 - 30/08/2020
A relevância das tecnologias assistivas para a inclusão de alunos com deficiência visual.|Nilton Menezes|02/03/2018 - 12/12/2019
ACESSIBILIDADE ATITUDINAL E PEDAGÓGICA NO ENSINO SUPERIOR: CAMINHOS PARA INCLUSÃO DOS ESTUDANTES COM DEFICIÊNCIA NA UNIVERSIDADE|JOSE STORNIOLO BRASIL|23/11/2018 - 20/08/2019
Age?ncia de objetos: reflexo?es teo?ricas e contribuic?o?es da Etnomusicologia para a Antropologia da Arte|Luana Zambiazzi dos Santos|15/05/2019 - 31/12/2022
Águas Malafaia - Estudo e desenvolvimento de protótipo para aproveitamento e descontaminação de águas de ETE|Tales Leandro Costa Martins|25/03/2019 - 30/12/2020
Algoritmos e Arquiteturas voltados para Alto Desempenho e Baixo Consumo de Potência para o Bloco de Codificação de Entropia CABAC segundo o padrão HEVC de Codificação de Vídeo.|Fábio Luís Livi Ramos|01/10/2017 - 30/09/2019
Análise das respostas estruturais de pavimentos flexíveis, considerando as variações sazonais máximas e mínimas de temperatura.|Leandro Blass|02/03/2019 - 30/12/2021
Análise de discursos de resistências|Carolina Fernandes|15/12/2017 - 30/12/2019
Análise de Redes de Colaboração Científica|Sandro da Silva Camargo|23/11/2018 - 22/11/2020
Análise do Discurso e Ensino de Língua|Carolina Fernandes|03/01/2018 - 30/12/2021
ANÁLISE ECOTOXICOLOGICA NO DIAGNOSTICO DE RISCO AMBIENTAL EM ÁREAS SOB INFLUÊNCIA DE ATIVIDADE MINERADORA NA REGIÃO DO BIOMA PAMPA|tatiane rocha cardozo|28/09/2018 - 13/12/2020
Análise Tempo-Frequência de Sinais Não Estacionários|Fernando Luis Dias|01/03/2018 - 31/12/2020
Aplicação Biomassa Vegetal como Adsorventes Alternativos para a Remoção de Substâncias Potencialmente Tóxicas de Efluentes Líquidos|Flávio Pavan|31/05/2018 - 31/05/2019
Aplicação de técnicas de Computação de Alto Desempenho no processamento de dados biológicos|Sandro da Silva Camargo|01/05/2017 - 30/04/2020
Aproveitamento de bagaço de azeitona oriundo do processamento de azeite de oliva: Avaliação da secagem dos resíduos para a produção de farinha e carvão ativado.|Catarina Motta de Moura|12/03/2018 - 11/03/2020
Aproveitamento e destinação de resíduo oleícola, oriundos da Região da Campanha|andressa carolina jacques|21/05/2018 - 30/12/2019
As Políticas Públicas de Formação de Professores em impressos pedagógicos: O caso da Revista do Ensino do Rio Grande do Sul e os Boletins do Centro de Pesquisas e Orientação Educacional - CPOE/RS - da Secretaria de Educação e Cultura do Estado do Rio Gran|Alessandro Carvalho Bica|01/03/2018 - 01/12/2020
Aspectos do sujeito na ficção brasileira e hispano-americana de autores pós-90|Cristina Cardoso|22/03/2017 - 01/12/2020
Bacteriocinas de Lactobacillus sakei: purificação e aplicação|Caroline Costa Moraes|01/03/2018 - 31/12/2020
Biofilmes e blendas produzidas a partir de biomateriais para aplicação em embalagens de alimentos|Catarina Motta de Moura|10/05/2018 - 31/12/2020
BIOPet  Biodigestão em Garrafas PET|ESTEVÃN MARTINS DE OLIVEIRA|21/03/2019 - 20/12/2019
CARACTERIZAÇÃO DA CERÂMICA VERMELHA DA REGIÃO DA CAMPANHA ATRAVÉS DA ADIÇÃO EM FORMULAÇÃO DE RESÍDUOS DA AGROINDÙSTRIA|Cristiano Corrêa Ferreira|10/06/2018 - 31/12/2019
Caracterização química da deposição atmosférica em solos superficiais de áreas sob influência local de emissões industriais pela queima de combustíveis fósseis.|maria regina de oliveira casartelli|02/05/2016 - 30/04/2020
Cienspiração: A ciência no desenvolvimento da criatividade.|Rafael Kobata Kimura|01/03/2018 - 31/12/2020
Computação de Alta Eficiência em Sistemas de Informação Geográfica Híbridos Aplicados à Pecuária e Apicultura de Precisão|Leonardo Bidese de Pinho|16/04/2018 - 15/12/2021
Constituição Identitária Docente e Uso de Recursos Digitais: formação de professores de inglês como língua adicional na UNIPAMPA|Luciani Salcedo de Oliveira|21/08/2017 - 20/12/2019
Da análise linguística à estilística no ensino da língua: atualizando as considerações de Mikhail Bakhtin a partir da análise de textos escritos|Fabiana Giovani|01/03/2018 - 28/02/2020
DESEMPENHO ORÇAMENTÁRIO SEGUNDO INDICADORES DO TCU E PDI DE UMA IFES: ESTUDO DE CASO DA UNIPAMPA|José Paulo Fagundes|11/03/2019 - 11/03/2020
Desenvolvimento de instrumentação de alta acurácia e automatizada para aplicações científicas e de ensino|Edson Massayuki Kakuno|01/03/2017 - 28/02/2021
Desenvolvimento de instrumentação de alta acurácia e automatizada para aplicações científicas e de ensino|Edson Massayuki Kakuno|02/03/2018 - 01/03/2022
Desenvolvimento de petiscos e biscoitos Pets.|ESTEVÃN MARTINS DE OLIVEIRA|20/03/2018 - 20/03/2020
Desenvolvimento de Tecnologias para uso do Carvão da CRM|Ana Rosa Costa Muniz|01/03/2016 - 01/03/2020
Desenvolvimento de um Periódico Eletrônico de Engenharia  Revista Eletrônica de Pesquisa em Engenharia (REPE)|ESTEVÃN MARTINS DE OLIVEIRA|18/04/2018 - 18/12/2019
Desenvolvimentos de mapas cognitivos para estudantes de ensino médio e superior através do método de Van Hiele|Cristiano Corrêa Ferreira|19/03/2018 - 31/12/2019
